"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","674","Create Post Test (Positive & Negative) [1] First Post, This is the body of the first post, 1, 201, true","","Thu Aug 15 20:47:33 GET 2024","passed","Thu Aug 15 20:47:33 GET 2024","","PostTests","PostTests","createPostTest"
"","266","Create Post Test (Positive & Negative) [3] Title, Body, -1, 400, false","","Thu Aug 15 18:17:55 GET 2024","failed","Thu Aug 15 18:17:55 GET 2024","","PostTests","PostTests","createPostTest"
"","78","Get Post Test (Positive & Negative) [2] -1, 404, false","","Thu Aug 15 20:47:30 GET 2024","passed","Thu Aug 15 20:47:30 GET 2024","","PostTests","PostTests","getPostTest"
"","709","Update Post Test (Positive & Negative) [2] 100, Updated Title, Updated Body, 100, 200, true","","Thu Aug 15 20:47:32 GET 2024","passed","Thu Aug 15 20:47:33 GET 2024","","PostTests","PostTests","updatePostTest"
"","445","Get All Posts Test","","Thu Aug 15 20:47:31 GET 2024","passed","Thu Aug 15 20:47:31 GET 2024","","PostTests","PostTests","getAllPostsTest"
"","678","Delete Post Test (Positive & Negative) [1] 1, 200","","Thu Aug 15 20:47:30 GET 2024","passed","Thu Aug 15 20:47:30 GET 2024","","PostTests","PostTests","deletePostTest"
"","594","Update Post Test (Positive & Negative) [1] 1, Updated Title, Updated Body, 1, 200, true","","Thu Aug 15 20:47:31 GET 2024","passed","Thu Aug 15 20:47:32 GET 2024","","PostTests","PostTests","updatePostTest"
"","3741","Get Post Test (Positive & Negative) [1] 1, 200, true","","Thu Aug 15 20:47:26 GET 2024","passed","Thu Aug 15 20:47:29 GET 2024","","PostTests","PostTests","getPostTest"
"","302","Find Most Common Words Test","","Thu Aug 15 18:20:01 GET 2024","passed","Thu Aug 15 18:20:01 GET 2024","","WordFrequencyTests","WordFrequencyTests","findMostCommonWordsTest"
"","585","Create Post Test (Positive & Negative) [2] First Post, This is the body of the first post, 100, 201, true","","Thu Aug 15 20:47:33 GET 2024","passed","Thu Aug 15 20:47:34 GET 2024","","PostTests","PostTests","createPostTest"
"","590","Delete Post Test (Positive & Negative) [2] 101, 200","","Thu Aug 15 20:47:30 GET 2024","passed","Thu Aug 15 20:47:31 GET 2024","","PostTests","PostTests","deletePostTest"
